user_id,lesson_id,topic,song_level,session_repeat,day,mode,grammar_time,vocab_time,grammar_accuracy,vocab_accuracy,total_accuracy,questions,questions_correct,questions_incorrect,passed
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,1,2.0,reading,,65,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,1,2.0,writing,,163,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,2,6.0,reading,,71,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,2,6.0,writing,,141,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,3,7.0,reading,,74,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,3,7.0,writing,,141,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,4,10.0,reading,,59,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,4,10.0,writing,,110,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,5,14.0,reading,,39,,60,60,5,3,2,False
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a01,Vivir Mi Vida,1,5,14.0,writing,,112,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,1,2.0,reading,,67,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,1,2.0,writing,,153,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,2,4.0,reading,,62,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,2,4.0,writing,,135,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,3,6.0,reading,,59,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,3,6.0,writing,,129,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,4,7.0,reading,,62,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,4,7.0,writing,,137,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,5,8.0,reading,,82,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a02,Me Gustas Tú,1,5,8.0,writing,,109,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,1,4.0,reading,,62,,60,60,5,3,2,False
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,1,4.0,writing,,164,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,2,6.0,reading,,72,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,2,6.0,writing,,188,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,3,7.0,reading,,73,,80,80,5,4,1,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,3,7.0,writing,,122,,100,100,5,5,0,True
sim-learner-0000,6a1e6b1a-0b1b-4b9e-9a5d-1f9c6e2a1a03,Limón y Sal,2,4,11.0,reading,,65,,40,40,5,2,3,False
